Nikki Cal 02
Date:,2010/06/08
Time:,15:13:38
Type:,setup
Description:,"SlowWalk"
Notes:,"clean"

FORCE PLATES
960.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.000000,900.000000,0.000000,600.000000,900.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,599.998894,-1382.600845,0.000000,-0.001137,-1382.599258,0.000000,0.001137,-482.599258,0.000000,600.001106,-482.600784,0.000000

,Force Plate 1,,,,,,,,,,,,Force Plate 2
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
56,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,300.000000,-932.600037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,300.000000,-932.600037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,300.000000,-932.600037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,300.000000,-932.600037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,300.000000,-932.600037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,300.000000,-932.600037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,300.000000,-932.600037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,300.000000,-932.600037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,300.000000,-932.600037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,300.000000,-932.600037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
