Nikki Cal 04,,,,,,,,,,,,,,,,,,,,,,,,
Date:,6/8/2010,,,,,,,,,,,,,,,,,,,,,,,
Time:,15:14:51,,,,,,,,,,,,,,,,,,,,,,,
Type:,setup,,,,,,,,,,,,,,,,,,,,,,,
Description:,FastWalk,,,,,,,,,,,,,,,,,,,,,,,
Notes:,clean,,,,,,,,,,,,,,,,,,,,,,,

FORCE PLATES,,,,,,,,,,,,,,,,,,,,,,,,
960,Hz,,,,,,,,,,,,,,,,,,,,,,,
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4,,,,,,,,,,,,,,
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,
1,0,900,0,600,900,0,600,0,0,0,0,0,,,,,,,,,,,,
2,599.998535,-1382.600616,0,-0.000854,-1382.59903,0,0.001373,-482.599457,0,600.000732,-482.601044,0,,,,,,,,,,,,

,Force Plate 1,,,,,,,,,,,,Force Plate 2,,,,,,,,,,,
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
48,,,,300,450,0,0,0,0,0,0,0,277.508041,-973.464534,0,299.999947,-932.600037,0,-32.820292,-78.62634,401.818787,-16420.12284,9037.670336,674.801818
49,,,,300,450,0,0,0,0,0,0,0,277.766643,-973.717281,0,299.999947,-932.600037,0,-30.634257,-82.357287,412.957581,-16979.67794,9181.411193,906.93664
50,,,,300,450,0,0,0,0,0,0,0,278.285462,-970.708681,0,299.999947,-932.600037,0,-31.443201,-79.466019,420.519348,-16025.42234,9131.360866,800.437205
51,,,,300,450,0,0,0,0,0,0,0,278.642164,-971.172506,0,299.999947,-932.600037,0,-30.345914,-85.573559,424.666595,-16380.43915,9069.936681,1127.435603
52,,,,300,450,0,0,0,0,0,0,0,278.519897,-969.965119,0,299.999947,-932.600037,0,-29.470422,-82.048674,431.567139,-16125.54151,9270.083601,1192.340471
53,,,,300,450,0,0,0,0,0,0,0,278.647409,-968.709254,0,299.999947,-932.600037,0,-29.854542,-87.978124,433.048431,-15637.03982,9246.683017,1260.209528
54,,,,300,450,0,0,0,0,0,0,0,278.12221,-967.718669,0,299.999947,-932.600037,0,-29.272762,-86.443259,443.194519,-15564.38537,9696.092953,1408.239145
55,,,,300,450,0,0,0,0,0,0,0,278.021569,-968.134046,0,299.999947,-932.600037,0,-29.822795,-89.905195,443.246216,-15750.31525,9741.832779,1395.713468
56,,,,300,450,0,0,0,0,0,0,0,277.81574,-965.343402,0,299.999947,-932.600037,0,-28.235227,-93.394609,454.75177,-14890.10342,10088.30705,1573.853546
57,,,,300,450,0,0,0,0,0,0,0,278.206507,-965.656454,0,299.999947,-932.600037,0,-28.655953,-94.110825,452.684357,-14964.1229,9865.54931,1613.502672
58,,,,300,450,0,0,0,0,0,0,0,277.355269,-964.96193,0,299.999947,-932.600037,0,-27.868421,-98.559916,461.855469,-14946.51722,10458.5684,1908.044108
59,,,,300,450,0,0,0,0,0,0,0,277.426009,-964.167724,0,299.999947,-932.600037,0,-26.300925,-98.389762,461.21698,-14559.55335,10411.48335,1842.008201
60,,,,300,450,0,0,0,0,0,0,0,277.539801,-963.416428,0,299.999947,-932.600037,0,-25.811598,-104.002846,470.327332,-14493.791,10563.62017,1762.708996
61,,,,300,450,0,0,0,0,0,0,0,277.78571,-960.578047,0,299.999947,-932.600037,0,-24.000811,-104.574377,470.663635,-13168.23189,10455.43313,1897.68523
62,,,,300,450,0,0,0,0,0,0,0,277.491872,-960.985185,0,299.999947,-932.600037,0,-23.903992,-107.480985,477.389801,-13550.78056,10745.12532,1796.184434
63,,,,300,450,0,0,0,0,0,0,0,277.442374,-959.62122,0,299.999947,-932.600037,0,-21.821606,-109.189167,477.90152,-12913.46483,10780.29803,2141.277392
64,,,,300,450,0,0,0,0,0,0,0,277.753769,-959.343479,0,299.999947,-932.600037,0,-21.563629,-110.365582,483.567322,-12932.25463,10757.52457,1956.478621
65,,,,300,450,0,0,0,0,0,0,0,276.672418,-957.082681,0,299.999947,-932.600037,0,-20.195516,-112.865463,484.791229,-11868.9715,11308.98145,2086.614752
66,,,,300,450,0,0,0,0,0,0,0,276.040303,-956.889617,0,299.999947,-932.600037,0,-17.995064,-113.878378,490.408661,-11911.8204,11750.01655,2093.435304
67,,,,300,450,0,0,0,0,0,0,0,276.591867,-955.750145,0,299.999947,-932.600037,0,-17.40001,-116.578773,494.44281,-11446.40488,11573.95644,2066.92208
68,,,,300,450,0,0,0,0,0,0,0,276.016436,-955.0236,0,299.999947,-932.600037,0,-15.408872,-117.755048,498.940186,-11188.01692,11966.33716,2190.942859
69,,,,300,450,0,0,0,0,0,0,0,276.43853,-954.667498,0,299.999947,-932.600037,0,-13.60124,-119.53335,500.498199,-11044.7247,11792.44662,2170.268125
70,,,,300,450,0,0,0,0,0,0,0,276.149262,-953.191746,0,299.999947,-932.600037,0,-11.776197,-121.612174,506.494293,-10429.58319,12080.23559,2153.655593
71,,,,300,450,0,0,0,0,0,0,0,275.908801,-952.400434,0,299.999947,-932.600037,0,-11.286015,-122.220055,511.18985,-10121.76205,12315.14894,2056.394297
72,,,,300,450,0,0,0,0,0,0,0,275.557464,-950.915859,0,299.999947,-932.600037,0,-9.25303,-123.974371,516.221985,-9455.030233,12617.74691,2186.056831
73,,,,300,450,0,0,0,0,0,0,0,275.237332,-950.702578,0,299.999947,-932.600037,0,-7.623178,-125.094096,522.290161,-9454.779494,12933.27021,2172.877511
74,,,,300,450,0,0,0,0,0,0,0,275.438928,-950.051826,0,299.999947,-932.600037,0,-7.076963,-127.108235,525.963928,-9179.011837,12918.21002,2208.816908
75,,,,300,450,0,0,0,0,0,0,0,274.959453,-948.290227,0,299.999947,-932.600037,0,-4.386218,-128.022495,531.059814,-8332.429854,13297.99968,2362.920065
76,,,,300,450,0,0,0,0,0,0,0,274.674589,-946.325225,0,299.999947,-932.600037,0,-4.472404,-128.569599,534.380371,-7334.471493,13533.37401,2265.553811
77,,,,300,450,0,0,0,0,0,0,0,274.626453,-946.113714,0,299.999947,-932.600037,0,-2.914029,-130.798561,541.424561,-7316.636941,13737.83284,2321.358955
78,,,,300,450,0,0,0,0,0,0,0,274.380274,-945.411103,0,299.999947,-932.600037,0,-2.843858,-130.697838,545.162537,-6984.113259,13966.88586,2242.671226
79,,,,300,450,0,0,0,0,0,0,0,274.510346,-943.54061,0,299.999947,-932.600037,0,-1.477344,-132.4035,551.694702,-6035.856358,14062.47754,2439.780056
80,,,,300,450,0,0,0,0,0,0,0,274.850197,-943.79922,0,299.999947,-932.600037,0,-1.119379,-133.039319,553.872131,-6202.915722,13929.74518,2391.698652
81,,,,300,450,0,0,0,0,0,0,0,274.116679,-943.061707,0,299.999947,-932.600037,0,-0.532334,-133.913664,560.391907,-5862.635321,14504.77373,2435.306864
82,,,,300,450,0,0,0,0,0,0,0,274.492869,-942.097135,0,299.999947,-932.600037,0,0.252462,-135.097642,567.621826,-5390.760592,14478.3742,2514.126644
83,,,,300,450,0,0,0,0,0,0,0,274.898153,-941.320374,0,299.999947,-932.600037,0,0.310427,-134.399323,572.145386,-4989.301028,14361.87513,2605.656575
84,,,,300,450,0,0,0,0,0,0,0,274.401914,-939.841694,0,299.999947,-932.600037,0,1.185201,-134.79906,574.83252,-4162.740202,14714.5818,2611.491743
85,,,,300,450,0,0,0,0,0,0,0,274.323027,-940.165362,0,299.999947,-932.600037,0,1.048813,-134.745273,577.96405,-4372.486168,14840.33666,2673.749874
86,,,,300,450,0,0,0,0,0,0,0,274.487847,-938.464063,0,299.999947,-932.600037,0,1.599267,-135.266407,583.364563,-3420.86531,14882.85495,2620.769307
87,,,,300,450,0,0,0,0,0,0,0,273.768248,-938.138751,0,299.999947,-932.600037,0,1.602785,-135.48267,587.712036,-3255.169107,15416.68472,2809.57069
88,,,,300,450,0,0,0,0,0,0,0,273.698618,-936.98307,0,299.999947,-932.600037,0,2.313427,-134.763327,591.260437,-2591.514083,15550.93517,2697.375947
89,,,,300,450,0,0,0,0,0,0,0,273.751927,-936.831148,0,299.999947,-932.600037,0,2.984685,-135.095635,593.776978,-2512.336646,15585.47004,2834.368827
90,,,,300,450,0,0,0,0,0,0,0,273.493425,-935.45276,0,299.999947,-932.600037,0,2.543469,-134.727637,598.22229,-1706.562512,15856.79227,2784.145151
91,,,,300,450,0,0,0,0,0,0,0,272.911373,-935.192681,0,299.999947,-932.600037,0,3.639923,-134.372889,600.104736,-1555.858214,16255.9816,2813.678453
92,,,,300,450,0,0,0,0,0,0,0,273.133623,-935.135684,0,299.999947,-932.600037,0,3.765396,-133.820658,607.145569,-1539.507282,16311.76949,2904.533414
93,,,,300,450,0,0,0,0,0,0,0,273.440333,-933.708644,0,299.999947,-932.600037,0,4.954919,-133.676588,612.786804,-679.339781,16275.38104,2861.498681
94,,,,300,450,0,0,0,0,0,0,0,273.040918,-932.672871,0,299.999947,-932.600037,0,5.466513,-132.884231,618.24762,-45.029602,16667.35511,2748.336941
95,,,,300,450,0,0,0,0,0,0,0,272.866493,-931.135566,0,299.999947,-932.600037,0,8.126913,-132.649558,626.898621,918.074683,17009.92473,2740.169086
96,,,,300,450,0,0,0,0,0,0,0,272.563445,-930.455543,0,299.999947,-932.600037,0,9.022843,-134.467919,630.210449,1351.482395,17290.76992,2781.059298
97,,,,300,450,0,0,0,0,0,0,0,272.518517,-929.446591,0,299.999947,-932.600037,0,11.217366,-132.280135,635.275818,2003.307945,17458.28737,2576.565269
98,,,,300,450,0,0,0,0,0,0,0,272.488259,-928.586804,0,299.999947,-932.600037,0,14.917057,-134.819314,637.936035,2560.185692,17550.69672,2539.070937
99,,,,300,450,0,0,0,0,0,0,0,272.355589,-927.443415,0,299.999947,-932.600037,0,15.591327,-135.093684,642.453308,3312.888871,17760.20914,2320.311803
100,,,,300,450,0,0,0,0,0,0,0,272.640779,-927.555983,0,299.999947,-932.600037,0,16.884508,-136.888366,646.021057,3258.565023,17674.59869,2405.584343
101,,,,300,450,0,0,0,0,0,0,0,272.529787,-926.384106,0,299.999947,-932.600037,0,16.368278,-137.304777,649.175415,4035.229218,17832.95238,2468.294156
102,,,,300,450,0,0,0,0,0,0,0,272.600061,-926.459888,0,299.999947,-932.600037,0,15.637597,-138.138896,651.898254,4002.752173,17861.93754,2516.254782
103,,,,300,450,0,0,0,0,0,0,0,272.501208,-925.737524,0,299.999947,-932.600037,0,15.6832,-137.271678,652.585388,4478.375713,17945.27479,2466.925803
104,,,,300,450,0,0,0,0,0,0,0,272.140665,-924.880521,0,299.999947,-932.600037,0,14.777204,-137.396249,655.302673,5058.619195,18256.26166,2450.793055
105,,,,300,450,0,0,0,0,0,0,0,272.509918,-924.068425,0,299.999947,-932.600037,0,14.636899,-135.884636,657.037537,5605.589183,18061.98037,2537.217511
106,,,,300,450,0,0,0,0,0,0,0,272.478734,-923.397374,0,299.999947,-932.600037,0,13.678224,-134.397222,664.699036,6117.000841,18293.32348,2650.286208
107,,,,300,450,0,0,0,0,0,0,0,272.863726,-922.551878,0,299.999947,-932.600037,0,12.632025,-132.180255,664.007935,6672.057296,18018.66588,2774.526513
108,,,,300,450,0,0,0,0,0,0,0,272.707679,-922.063176,0,299.999947,-932.600037,0,13.679031,-133.731115,668.097961,7039.654802,18233.90844,2863.966275
109,,,,300,450,0,0,0,0,0,0,0,272.303529,-920.858572,0,299.999947,-932.600037,0,13.572975,-128.759054,667.342896,7835.582806,18483.00774,2767.42486
110,,,,300,450,0,0,0,0,0,0,0,272.145062,-920.813369,0,299.999947,-932.600037,0,13.534312,-131.623296,674.163391,7946.139624,18778.74348,2675.719739
111,,,,300,450,0,0,0,0,0,0,0,272.196327,-919.297057,0,299.999947,-932.600037,0,14.295682,-129.181221,676.913147,9004.961467,18820.63544,2737.933993
112,,,,300,450,0,0,0,0,0,0,0,272.427518,-919.938001,0,299.999947,-932.600037,0,13.760243,-130.479132,680.681396,8618.812426,18768.03942,2849.531087
113,,,,300,450,0,0,0,0,0,0,0,272.454658,-918.011193,0,299.999947,-932.600037,0,15.239624,-129.152628,681.343567,9940.014511,18767.80542,2729.076985
114,,,,300,450,0,0,0,0,0,0,0,272.55412,-918.533426,0,299.999947,-932.600037,0,15.837143,-128.943539,684.284912,9625.569603,18780.76506,2719.144624
115,,,,300,450,0,0,0,0,0,0,0,272.53534,-916.721628,0,299.999947,-932.600037,0,17.559253,-129.519547,687.575134,10917.59872,18883.98031,2585.354012
116,,,,300,450,0,0,0,0,0,0,0,271.855876,-916.958157,0,299.999947,-932.600037,0,18.205656,-129.182223,688.677002,10772.20279,19382.17447,2472.990659
