Nikki Cal 20
Date:,2010/06/18
Time:,14:34:38
Type:,setup
Description:,"jump"
Notes:,""

FORCE PLATES
960.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.000000,900.000000,0.000000,600.000000,900.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,599.998779,-1382.600708,0.000000,-0.001038,-1382.599121,0.000000,0.001129,-482.599243,0.000000,600.000977,-482.600830,0.000000

,Force Plate 1,,,,,,,,,,,,Force Plate 2
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
42,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.763198,-643.815733,0.000000,299.999962,-932.599976,0.000000,1.416466,-0.036107,492.390259,142194.547756,2578.531308,-390.022652
43,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.165601,-644.779827,0.000000,299.999962,-932.599976,0.000000,1.895213,0.209645,494.200287,142240.800101,2883.342746,-336.734028
44,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.592819,-644.005176,0.000000,299.999962,-932.599976,0.000000,1.351555,-0.076889,493.611053,142453.583213,2669.025415,-424.340628
45,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.086699,-644.243561,0.000000,299.999962,-932.599976,0.000000,2.401867,-0.306477,492.899658,142130.778422,2421.745724,-305.763442
46,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.255634,-642.884132,0.000000,299.999962,-932.599976,0.000000,2.694646,-0.243676,491.503967,142396.486620,2331.855768,-397.482052
47,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.841753,-643.958371,0.000000,299.999962,-932.599976,0.000000,1.620256,-0.260074,494.572968,142754.334772,2551.110597,-219.192855
48,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.971644,-644.868626,0.000000,299.999962,-932.599976,0.000000,1.800612,0.319005,494.209534,142199.576345,2485.042674,-229.373663
49,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.862384,-643.593671,0.000000,299.999962,-932.599976,0.000000,1.517474,-0.018612,492.129333,142228.480277,2528.352769,-277.778577
50,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.783419,-644.113447,0.000000,299.999962,-932.599976,0.000000,1.789784,0.541594,493.072601,142244.803100,2572.134160,-375.538391
51,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.259372,-643.050061,0.000000,299.999962,-932.599976,0.000000,1.431120,-0.153702,491.343506,142268.470280,2820.601616,-321.761520
52,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.266926,-643.115302,0.000000,299.999962,-932.599976,0.000000,1.672588,0.069056,492.121185,142461.540769,2821.348399,-321.693251
53,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.048692,-643.695465,0.000000,299.999962,-932.599976,0.000000,1.798906,0.291221,492.820038,142377.932049,2440.084928,-219.202054
54,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.183737,-643.486019,0.000000,299.999962,-932.599976,0.000000,1.278484,0.316215,491.958710,142232.128930,2369.383521,-307.357252
55,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.690396,-643.200388,0.000000,299.999962,-932.599976,0.000000,2.141924,0.023816,491.242737,142165.445415,2608.285645,-374.420725
56,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.453195,-644.503154,0.000000,299.999962,-932.599976,0.000000,0.991967,0.231266,492.651459,141931.319215,2732.622921,-308.341977
57,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.702953,-642.636071,0.000000,299.999962,-932.599976,0.000000,1.563525,0.464773,490.204895,142141.725432,2596.619650,-302.248526
58,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.838619,-644.416639,0.000000,299.999962,-932.599976,0.000000,2.008028,-0.436528,493.167267,142122.588578,2545.405514,-345.285715
59,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.545021,-644.620188,0.000000,299.999962,-932.599976,0.000000,2.052825,0.341899,493.337341,142071.182689,2197.788466,-326.074941
60,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.425779,-643.354237,0.000000,299.999962,-932.599976,0.000000,2.594030,0.064870,492.026794,142316.653783,2250.620765,-232.331438
61,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.225943,-644.152740,0.000000,299.999962,-932.599976,0.000000,1.628002,-0.146610,494.301331,142579.852351,2854.105298,-321.941342
62,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.133930,-645.329595,0.000000,299.999962,-932.599976,0.000000,1.471911,-0.323048,493.961731,141900.574607,2403.633496,-229.261607
63,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.638982,-643.993095,0.000000,299.999962,-932.599976,0.000000,1.425642,0.358200,491.871155,141957.399703,2145.040114,-190.217677
64,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.007771,-644.494564,0.000000,299.999962,-932.599976,0.000000,1.723141,0.009063,492.993988,142034.235618,2461.120187,-350.798775
65,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.052396,-643.241721,0.000000,299.999962,-932.599976,0.000000,2.120793,0.271643,492.552521,142524.137533,2436.936003,-393.982960
66,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.826550,-643.581258,0.000000,299.999962,-932.599976,0.000000,1.697964,-0.039317,492.387024,142309.065990,2547.320717,-336.007482
67,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.872367,-643.833332,0.000000,299.999962,-932.599976,0.000000,1.775755,0.269216,492.993073,142359.954975,2527.868693,-209.612912
68,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.641895,-644.037161,0.000000,299.999962,-932.599976,0.000000,1.965586,0.311950,493.859161,142509.389821,2646.130549,-121.967744
69,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.873069,-643.208790,0.000000,299.999962,-932.599976,0.000000,1.620182,0.178224,492.312531,142470.906745,2031.721160,-170.014011
70,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.025596,-643.514536,0.000000,299.999962,-932.599976,0.000000,1.599887,0.291168,492.737396,142443.206584,2451.055876,-214.533117
71,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.304845,-645.230462,0.000000,299.999962,-932.599976,0.000000,1.603062,0.300215,495.000854,142248.154539,2324.086961,-229.535059
72,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.484875,-643.825647,0.000000,299.999962,-932.599976,0.000000,1.532113,0.202582,492.743439,142291.655872,2224.779627,-170.540815
73,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.428891,-642.194370,0.000000,299.999962,-932.599976,0.000000,1.330950,0.286332,491.793823,142819.683116,2248.024631,-170.406270
74,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.653940,-644.349950,0.000000,299.999962,-932.599976,0.000000,1.630725,0.166541,494.485382,142535.424156,2149.044187,-306.854371
75,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.759763,-643.782090,0.000000,299.999962,-932.599976,0.000000,1.534626,0.071110,493.261108,142462.630344,2584.786075,-234.144667
76,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.782862,-643.560548,0.000000,299.999962,-932.599976,0.000000,1.201906,0.049287,493.444061,142624.788863,2574.346992,-214.979560
77,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.096354,-645.100069,0.000000,299.999962,-932.599976,0.000000,1.097652,0.545387,494.482513,142163.676626,2424.748376,-245.029125
78,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.073206,-643.552192,0.000000,299.999962,-932.599976,0.000000,1.430112,0.290027,490.820374,141870.540880,2418.152297,-258.498262
79,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.213305,-642.618273,0.000000,299.999962,-932.599976,0.000000,1.259221,0.559172,491.600739,142555.219159,2844.724806,-390.664878
80,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.032340,-644.859325,0.000000,299.999962,-932.599976,0.000000,1.556347,0.297144,494.302856,142231.025576,2455.509487,-205.266906
81,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.689282,-644.571691,0.000000,299.999962,-932.599976,0.000000,1.667591,1.052852,494.648224,142472.679634,2132.270142,-210.201517
82,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.524452,-644.153230,0.000000,299.999962,-932.599976,0.000000,1.153438,0.050780,494.400116,142608.104707,2707.092763,-166.675940
83,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.530662,-644.750567,0.000000,299.999962,-932.599976,0.000000,1.613224,0.714090,493.692352,142109.051654,2206.458930,-68.860733
84,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.317322,-644.499511,0.000000,299.999962,-932.599976,0.000000,1.508999,0.650381,494.042542,142333.885903,2313.423405,-161.524015
85,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.807402,-643.819708,0.000000,299.999962,-932.599976,0.000000,1.312748,0.229966,494.660339,142848.144933,2568.553337,-234.571511
86,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,296.183476,-645.323902,0.000000,299.999962,-932.599976,0.000000,1.688812,0.564814,494.481049,142052.574326,1887.179707,-160.992993
87,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.637599,-644.614133,0.000000,299.999962,-932.599976,0.000000,2.047991,0.452329,493.861237,142225.044189,2154.401890,-272.564454
88,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.313542,-642.893864,0.000000,299.999962,-932.599976,0.000000,1.578437,0.711803,492.389252,142648.175472,2307.542745,-224.310961
89,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.998505,-644.713908,0.000000,299.999962,-932.599976,0.000000,1.223526,0.475665,494.656952,142404.844530,2474.005464,-186.328673
90,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.431213,-645.861366,0.000000,299.999962,-932.599976,0.000000,1.160393,0.480726,495.442352,142062.450983,2263.551633,-186.511166
91,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.124224,-644.835360,0.000000,299.999962,-932.599976,0.000000,1.412043,0.566561,493.691315,142066.891438,2407.109191,-312.734859
92,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.833229,-644.272158,0.000000,299.999962,-932.599976,0.000000,1.195351,0.411272,493.260376,142220.687493,2548.544466,-376.170464
93,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.261468,-644.990199,0.000000,299.999962,-932.599976,0.000000,1.748914,0.717159,494.558014,142239.719857,2343.460144,-127.382105
94,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.048238,-643.169234,0.000000,299.999962,-932.599976,0.000000,1.252182,0.627811,493.177795,142740.815086,2442.080229,-288.192946
95,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.660422,-644.638385,0.000000,299.999962,-932.599976,0.000000,1.614291,0.981510,494.116699,142286.630710,2638.355702,-118.252331
96,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.454284,-644.718493,0.000000,299.999962,-932.599976,0.000000,1.242648,0.560390,493.264191,142001.626488,2242.220269,-113.032303
97,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.126346,-645.039207,0.000000,299.999962,-932.599976,0.000000,1.624184,0.964184,494.292969,142139.265883,2408.994246,-215.484407
98,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.800675,-644.153923,0.000000,299.999962,-932.599976,0.000000,1.184911,0.650510,492.822754,142152.777751,2562.326701,-244.864746
99,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.185809,-645.510354,0.000000,299.999962,-932.599976,0.000000,0.941478,0.366259,493.614380,141711.565616,2376.335175,-191.535481
100,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.424194,-643.993066,0.000000,299.999962,-932.599976,0.000000,1.578363,0.623927,492.037262,142005.353446,2251.448339,-180.640491
101,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,296.044075,-644.274402,0.000000,299.999962,-932.599976,0.000000,2.131028,0.734752,492.204224,141915.065117,1947.104415,-179.802687
102,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.406019,-644.520481,0.000000,299.999962,-932.599976,0.000000,1.727936,0.670233,493.679535,142218.950927,2761.614913,-166.649441
103,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.238058,-644.866376,0.000000,299.999962,-932.599976,0.000000,1.874621,0.698808,493.943268,142124.074400,2352.110269,-312.238511
104,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.335868,-645.133366,0.000000,299.999962,-932.599976,0.000000,1.470239,0.563912,493.691864,141919.926258,2302.625029,-200.615214
105,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.600990,-644.455095,0.000000,299.999962,-932.599976,0.000000,1.827635,0.938548,492.550812,141925.994817,2166.717352,-253.699624
106,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.992342,-644.295124,0.000000,299.999962,-932.599976,0.000000,1.824972,0.538280,492.987061,142130.561469,2468.691750,-253.672478
107,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.678065,-644.282646,0.000000,299.999962,-932.599976,0.000000,2.174674,0.514557,493.249664,142212.425943,2131.774268,-204.149926
