Nikki Cal 12
Date:,2010/06/18
Time:,14:32:10
Type:,setup
Description:,"standing"
Notes:,""

FORCE PLATES
960.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.000000,900.000000,0.000000,600.000000,900.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,599.998779,-1382.600708,0.000000,-0.001038,-1382.599121,0.000000,0.001129,-482.599243,0.000000,600.000977,-482.600830,0.000000

,Force Plate 1,,,,,,,,,,,,Force Plate 2
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
35,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.534390,-1086.952987,0.000000,299.999962,-932.599976,0.000000,1.561465,0.279747,493.378632,-76154.477693,-757.054189,-427.086403
36,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.977335,-1088.118791,0.000000,299.999962,-932.599976,0.000000,2.285523,0.648889,491.533813,-76442.756437,-971.945781,-362.786016
37,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.753718,-1087.230092,0.000000,299.999962,-932.599976,0.000000,2.355946,1.047940,491.354889,-75978.263553,-861.716532,-450.527495
38,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.483542,-1087.710843,0.000000,299.999962,-932.599976,0.000000,2.623796,-0.124046,492.488770,-76390.360266,-730.646570,-479.027947
39,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.844851,-1087.872205,0.000000,299.999962,-932.599976,0.000000,2.597021,0.710982,490.396362,-76144.936545,-904.727028,-425.468306
40,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302.428522,-1088.200810,0.000000,299.999962,-932.599976,0.000000,3.031429,1.260805,489.777557,-76209.796364,-1189.454133,-327.603426
41,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.485424,-1087.393389,0.000000,299.999962,-932.599976,0.000000,2.331376,0.426626,491.707611,-76113.099627,-730.413207,-421.103380
42,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.071479,-1087.737514,0.000000,299.999962,-932.599976,0.000000,2.057843,0.964313,491.264282,-76213.531685,-526.398104,-582.805470
43,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.797093,-1088.099239,0.000000,299.999962,-932.599976,0.000000,2.668039,0.665958,489.698029,-76147.682859,-880.051625,-488.554996
44,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.786535,-1088.208253,0.000000,299.999962,-932.599976,0.000000,2.299225,0.755908,489.007507,-76093.615687,-873.647661,-561.977093
45,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.439954,-1087.749859,0.000000,299.999962,-932.599976,0.000000,2.733025,0.739850,492.040680,-76340.054156,-708.534833,-469.796598
46,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.764498,-1086.750668,0.000000,299.999962,-932.599976,0.000000,2.675201,0.931075,491.440582,-75755.906004,-867.164860,-328.174219
47,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302.228554,-1086.827652,0.000000,299.999962,-932.599976,0.000000,2.434938,0.691564,492.234863,-75916.239079,-1096.990799,-328.242117
48,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.504143,-1086.990350,0.000000,299.999962,-932.599976,0.000000,2.308874,-0.300982,493.370819,-76171.705559,-742.119069,-411.106691
49,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302.342347,-1087.450126,0.000000,299.999962,-932.599976,0.000000,2.386005,0.800378,491.798676,-76155.098856,-1151.981860,-250.463327
50,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302.018208,-1088.504666,0.000000,299.999962,-932.599976,0.000000,2.238882,0.727994,488.925110,-76225.717977,-986.771403,-347.674154
